,estimated_frequency
Strep_C100500,0.007142857142857143
Strep_C100501,0.007142857142857143
Strep_C100502,0.014285714285714285
Strep_C100503,0.007142857142857143
Strep_C100504,0.007142857142857143
Strep_C100505,0.007142857142857143
Strep_C100506,0.007142857142857143
Strep_C100507,0.02142857142857143
Strep_C100508,0.02142857142857143
Strep_C100509,0.04285714285714286
Strep_C10050,0.007142857142857143
Strep_C100510,0.014285714285714285
Strep_C100511,0.007142857142857143
Strep_C100512,0.014285714285714285
Strep_C100513,0.007142857142857143
Strep_C100514,0.007142857142857143
Strep_C100515,0.007142857142857143
Strep_C100516,0.007142857142857143
Strep_C100517,0.007142857142857143
Strep_C100518,0.02142857142857143
Strep_C100519,0.007142857142857143
Strep_C10051,0.007142857142857143
Strep_C100520,0.007142857142857143
Strep_C100521,0.007142857142857143
Strep_C100522,0.007142857142857143
Strep_C100523,0.014285714285714285
Strep_C100524,0.007142857142857143
Strep_C100525,0.007142857142857143
Strep_C100526,0.03571428571428571
Strep_C100527,0.8772100080367331
Strep_C100528,0.007142857142857143
Strep_C100529,0.007142857142857143
Strep_C10052,0.007142857142857143
Strep_C100530,0.04285714285714286
Strep_C100531,0.007142857142857143
Strep_C100532,0.007142857142857143
Strep_C100533,0.02142857142857143
Strep_C100534,0.02142857142857143
Strep_C100535,0.014285714285714285
Strep_C100536,0.007142857142857143
Strep_C100537,0.007142857142857143
Strep_C100538,0.014285714285714285
Strep_C100539,0.007142857142857143
Strep_C10053,0.007142857142857143
Strep_C100540,0.007142857142857143
Strep_C100541,0.007142857142857143
Strep_C100542,0.02142857142857143
Strep_C100543,0.007142857142857143
Strep_C100544,0.007142857142857143
Strep_C100545,0.09285714285714286
Strep_C100546,0.007142857142857143
Strep_C100547,0.1
Strep_C100548,0.04285714285714286
Strep_C100549,0.5700643022031129
Strep_C10054,0.007142857142857143
Strep_C100550,0.007142857142857143
Strep_C100551,0.014285714285714285
Strep_C100552,0.09285714285714286
Strep_C100553,0.03571428571428571
Strep_C100554,0.02142857142857143
Strep_C100555,0.007142857142857143
Strep_C100556,0.007142857142857143
Strep_C100557,0.007142857142857143
Strep_C100558,0.06428571428571428
Strep_C100559,0.007142857142857143
Strep_C10055,0.007142857142857143
Strep_C100560,0.07142857142857142
Strep_C100561,0.007142857142857143
Strep_C100562,0.014285714285714285
Strep_C100563,0.014285714285714285
Strep_C100564,0.03571428571428571
Strep_C100565,0.014285714285714285
Strep_C100566,0.2575414208927968
Strep_C100567,0.17087019981754661
Strep_C100568,0.03571428571428571
Strep_C100569,0.014285714285714285
Strep_C10056,0.007142857142857143
Strep_C100570,0.014285714285714285
Strep_C100571,0.014285714285714285
Strep_C100572,0.007142857142857143
Strep_C100573,0.007142857142857143
Strep_C100574,0.014285714285714285
Strep_C100575,0.007142857142857143
Strep_C100576,0.007142857142857143
Strep_C100577,0.007142857142857143
Strep_C100578,0.007142857142857143
Strep_C100579,0.007142857142857143
Strep_C10057,0.007142857142857143
Strep_C100580,0.007142857142857143
Strep_C100581,0.014285714285714285
Strep_C100582,0.014285714285714285
Strep_C100583,0.007142857142857143
Strep_C100584,0.02142857142857143
Strep_C100585,0.014285714285714285
Strep_C100586,0.007142857142857143
Strep_C100587,0.02857142857142857
Strep_C100588,0.007142857142857143
Strep_C100589,0.007142857142857143
Strep_C10058,0.007142857142857143
Strep_C100590,0.014285714285714285
Strep_C100591,0.007142857142857143
Strep_C100592,0.1
Strep_C100593,0.007142857142857143
Strep_C100594,0.007142857142857143
Strep_C100595,0.007142857142857143
Strep_C100596,0.007142857142857143
Strep_C100597,0.007142857142857143
Strep_C100598,0.007142857142857143
Strep_C100599,0.014285714285714285
Strep_C10059,0.007142857142857143
Strep_C1005,0.007142857142857143
Strep_C100600,0.05714285714285714
