gene	product	strains_missing	missing_percentage
Strep_C24576	roadblock/LC7 domain-containing protein	1	11.11111111111111
Strep_C2817	sensor histidine kinase	1	11.11111111111111
Strep_C16751	TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	1	11.11111111111111
Strep_C12798	HAD family hydrolase	1	11.11111111111111
Strep_C1578	SF1B family DNA helicase RecD2	1	11.11111111111111
Strep_C19414	sulfite oxidase-like oxidoreductase	1	11.11111111111111
Strep_C2198	acyl-CoA dehydrogenase family protein	1	11.11111111111111
Strep_C3450	MDR family MFS transporter	1	11.11111111111111
Strep_C24649	DUF4307 domain-containing protein	1	11.11111111111111
Strep_C7275	sensor histidine kinase	1	11.11111111111111
Strep_C2346	ATP-binding protein	1	11.11111111111111
Strep_C3481	monocarboxylate uptake permease MctP	1	11.11111111111111
Strep_C6196	DUF1015 domain-containing protein	1	11.11111111111111
Strep_C25931	hypothetical protein	1	11.11111111111111
Strep_C20918	GbsR/MarR family transcriptional regulator	1	11.11111111111111
Strep_C28230	hypothetical protein	1	11.11111111111111
Strep_C1975	RICIN domain-containing protein	1	11.11111111111111
Strep_C6128	RNA polymerase sigma factor	1	11.11111111111111
Strep_C9902	C40 family peptidase	1	11.11111111111111
Strep_C18217	GNAT family N-acetyltransferase	1	11.11111111111111
Strep_C25914	hypothetical protein	1	11.11111111111111
Strep_C14858	class II aldolase/adducin family protein	1	11.11111111111111
Strep_C2317	AMP-dependent synthetase/ligase	1	11.11111111111111
Strep_C17518	response regulator	1	11.11111111111111
Strep_C12258	DUF4429 domain-containing protein	1	11.11111111111111
Strep_C19989	GNAT family N-acetyltransferase	1	11.11111111111111
Strep_C22957	hypothetical protein	1	11.11111111111111
Strep_C1334	sodium-translocating pyrophosphatase	1	11.11111111111111
Strep_C19554	histidine phosphatase family protein	1	11.11111111111111
Strep_C11287	5-dehydro-4-deoxyglucarate dehydratase	1	11.11111111111111
Strep_C3111	cellulase family glycosylhydrolase	1	11.11111111111111
Strep_C10062	sugar ABC transporter substrate-binding protein	1	11.11111111111111
Strep_C7562	4-hydroxybenzoate 3-monooxygenase	1	11.11111111111111
Strep_C14768	pectate lyase	1	11.11111111111111
Strep_C3123	MFS transporter	1	11.11111111111111
Strep_C13563	helix-turn-helix domain-containing protein	1	11.11111111111111
Strep_C14773	VOC family protein	1	11.11111111111111
Strep_C3573	glycoside hydrolase family 43 protein	1	11.11111111111111
Strep_C9890	ATP-binding cassette domain-containing protein	1	11.11111111111111
Strep_C4812	lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein	1	11.11111111111111
Strep_C8354	WD40/YVTN/BNR-like repeat-containing protein	1	11.11111111111111
Strep_C24337	PTS-dependent dihydroxyacetone kinase phosphotransferase subunit DhaM	1	11.11111111111111
Strep_C8317	bifunctional 3-oxoadipate enol-lactonase/4-carboxymuconolactone decarboxylase PcaDC	1	11.11111111111111
Strep_C13476	endonuclease I family protein	1	11.11111111111111
Strep_C15919	HipA family kinase	1	11.11111111111111
Strep_C15830	class I SAM-dependent methyltransferase	1	11.11111111111111
Strep_C11527	sucrase ferredoxin	1	11.11111111111111
Strep_C11177	carbohydrate ABC transporter permease	1	11.11111111111111
Strep_C20599	VanZ family protein	1	11.11111111111111
Strep_C17895	bifunctional DNA primase/polymerase	1	11.11111111111111
Strep_C10537	Pro-rich N-terminal domain-containing protein	1	11.11111111111111
Strep_C30061	SCO1431 family membrane protein	1	11.11111111111111
Strep_C7089	threonine aldolase family protein	1	11.11111111111111
Strep_C10242	DNA-3-methyladenine glycosylase family protein	1	11.11111111111111
Strep_C19631	FxsA family membrane protein	1	11.11111111111111
Strep_C4852	MFS transporter	1	11.11111111111111
Strep_C8088	L-rhamnose isomerase	1	11.11111111111111
Strep_C22761	RDD family protein	1	11.11111111111111
Strep_C14769	ABC transporter ATP-binding protein	1	11.11111111111111
Strep_C4034	ATP-dependent DNA ligase	1	11.11111111111111
Strep_C27697	DUF3099 domain-containing protein	1	11.11111111111111
Strep_C13584	SDR family oxidoreductase	1	11.11111111111111
Strep_C14705	NAD-dependent epimerase/dehydratase family protein	1	11.11111111111111
Strep_C11572	aminoglycoside phosphotransferase family protein	1	11.11111111111111
Strep_C23110	SPW repeat protein	1	11.11111111111111
Strep_C10716	ATP-grasp ribosomal peptide maturase	1	11.11111111111111
Strep_C4973	glycoside hydrolase family 16 protein	1	11.11111111111111
Strep_C1095	sensor histidine kinase	1	11.11111111111111
Strep_C28807	helix-turn-helix domain-containing protein	1	11.11111111111111
Strep_C1322	malto-oligosyltrehalose synthase	1	11.11111111111111
Strep_C11786	NAD(P)-dependent oxidoreductase	1	11.11111111111111
Strep_C7962	glycogen synthase	1	11.11111111111111
Strep_C24345	hypothetical protein	1	11.11111111111111
Strep_C26814	YlxR family protein	1	11.11111111111111
Strep_C18390	TetR family transcriptional regulator	1	11.11111111111111
Strep_C19739	sigma-70 family RNA polymerase sigma factor	1	11.11111111111111
Strep_C14556	SOS response-associated peptidase	1	11.11111111111111
Strep_C4241	hypothetical protein	1	11.11111111111111
Strep_C8007	HpcH/HpaI aldolase/citrate lyase family protein	1	11.11111111111111
Strep_C24336	hypothetical protein	1	11.11111111111111
Strep_C6855	DUF4032 domain-containing protein	1	11.11111111111111
Strep_C8022	mandelate racemase/muconate lactonizing enzyme family protein	1	11.11111111111111
Strep_C28088	mycoredoxin	1	11.11111111111111
Strep_C12846	iron uptake transporter permease EfeU	1	11.11111111111111
Strep_C7522	serine hydrolase domain-containing protein	1	11.11111111111111
Strep_C29711	Trm112 family protein	1	11.11111111111111
Strep_C24447	MarR family winged helix-turn-helix transcriptional regulator	1	11.11111111111111
Strep_C22899	hypothetical protein	1	11.11111111111111
Strep_C14052	HAD family hydrolase	1	11.11111111111111
Strep_C4705	glycine hydroxymethyltransferase	1	11.11111111111111
Strep_C9493	NUDIX hydrolase	1	11.11111111111111
Strep_C12431	dihydrodipicolinate synthase family protein	1	11.11111111111111
Strep_C19826	hypothetical protein	1	11.11111111111111
Strep_C9748	zinc-dependent alcohol dehydrogenase	1	11.11111111111111
Strep_C3509	NADH-quinone oxidoreductase subunit NuoF family protein	1	11.11111111111111
Strep_C28310	glucose PTS transporter subunit EIIB	1	11.11111111111111
Strep_C6875	transcription termination factor Rho	1	11.11111111111111
Strep_C15503	protocatechuate 3,4-dioxygenase subunit beta	1	11.11111111111111
Strep_C16372	ribonuclease H family protein	1	11.11111111111111
Strep_C13326	helix-turn-helix domain-containing protein	1	11.11111111111111
Strep_C9156	ABC transporter permease	1	11.11111111111111
Strep_C16086	response regulator transcription factor	1	11.11111111111111
Strep_C15536	ABC transporter ATP-binding protein	1	11.11111111111111
Strep_C10315	FKBP-type peptidyl-prolyl cis-trans isomerase	1	11.11111111111111
Strep_C14050	hypothetical protein	1	11.11111111111111
Strep_C18822	GTP-binding protein	1	11.11111111111111
Strep_C15502	IclR family transcriptional regulator	1	11.11111111111111
Strep_C6074	ergothioneine biosynthesis glutamate--cysteine ligase EgtA	1	11.11111111111111
Strep_C18859	hypothetical protein	1	11.11111111111111
Strep_C23847	VOC family protein	1	11.11111111111111
Strep_C11000	acetylxylan esterase	1	11.11111111111111
Strep_C25506	cupin domain-containing protein	1	11.11111111111111
Strep_C6454	glycosyltransferase family 4 protein	1	11.11111111111111
Strep_C799	nitrate- and nitrite sensing domain-containing protein	1	11.11111111111111
Strep_C19016	L-threonylcarbamoyladenylate synthase	1	11.11111111111111
Strep_C14305	VOC family protein	1	11.11111111111111
Strep_C9549	LacI family DNA-binding transcriptional regulator	1	11.11111111111111
Strep_C18084	nucleotidyltransferase family protein	1	11.11111111111111
Strep_C17692	trimeric intracellular cation channel family protein	1	11.11111111111111
Strep_C8298	ABC transporter permease	1	11.11111111111111
Strep_C21574	Lrp/AsnC family transcriptional regulator	1	11.11111111111111
Strep_C25151	ArsR/SmtB family transcription factor	1	11.11111111111111
Strep_C17590	GntR family transcriptional regulator	1	11.11111111111111
Strep_C4255	ABC transporter substrate-binding protein	1	11.11111111111111
Strep_C5022	NarK family nitrate/nitrite MFS transporter	1	11.11111111111111
Strep_C20976	amino-acid N-acetyltransferase	1	11.11111111111111
