,estimated_frequency
Strep_C10414,0.99999999
Strep_C10415,0.1163415109155265
Strep_C10416,0.1163415109155265
Strep_C10417,0.11634201451864289
Strep_C10418,0.99999999
Strep_C10419,0.99999999
Strep_C1041,0.557982185216091
Strep_C10420,0.11634201451864289
Strep_C10421,0.2337017810381666
Strep_C10422,0.23370178103816636
Strep_C10423,0.47311651524910325
Strep_C10424,0.11634201451864289
Strep_C10425,0.23370178103816636
Strep_C10426,0.471274539360154
Strep_C10427,0.7198634438443039
Strep_C10428,0.333266628208235
Strep_C10429,0.11136757272179186
Strep_C1042,0.35132537846575046
Strep_C10430,0.11136757272179186
Strep_C10431,0.11136757272179186
Strep_C10432,0.11136757272179186
Strep_C10433,0.23305302815717163
Strep_C10434,0.23305302815717163
Strep_C10435,0.23305302815717163
Strep_C10436,0.23305302815717163
Strep_C10437,0.23305302815717163
Strep_C10438,0.1160600458814914
Strep_C10439,0.23305302815717163
Strep_C1043,0.23370178103816636
